evaluation_context,model_name,window_label,prediction_artifact,aoi_alert_overlap_index,true_positive_windows,false_positive_windows,false_negative_windows,true_negative_windows,attack_window_count,predicted_alert_window_count,evaluated_window_count,alert_coverage,alert_precision,notes
heldout_synthetic_zero_day_like_prediction_artifact,lstm,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/lstm/predictions.parquet,0.034401333456801554,2972,83420,0,0,2972,86392,86392,1.0,0.034401333456801554,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/threshold_baseline/predictions.parquet,0.40759987008769083,1255,107,1717,83316,2972,1362,86395,0.42227456258411844,0.92143906020558,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/transformer/predictions.parquet,0.034401731661862923,2972,83419,0,1,2972,86391,86392,1.0,0.034401731661862923,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/autoencoder/predictions.parquet,0.0516072600043735,236,4304,33,2622,269,4540,7195,0.8773234200743495,0.051982378854625554,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/gru/predictions.parquet,0.44244604316546765,123,9,146,6906,269,132,7184,0.45724907063197023,0.9318181818181818,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/isolation_forest/predictions.parquet,0.0373870743571925,269,6926,0,0,269,7195,7195,1.0,0.0373870743571925,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/lstm/predictions.parquet,0.43478260869565216,120,7,149,6908,269,127,7184,0.44609665427509293,0.9448818897637795,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/threshold_baseline/predictions.parquet,0.5272727272727272,145,6,124,6920,269,151,7195,0.5390334572490706,0.9602649006622517,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/transformer/predictions.parquet,0.7517006802721088,221,25,48,6890,269,246,7184,0.8215613382899628,0.8983739837398373,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,ttm_extension,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/ttm_extension/predictions.parquet,0.12460063897763578,39,44,230,6870,269,83,7183,0.1449814126394052,0.46987951807228917,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
