artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/5s/reports/transformer/precision_recall_curve.png,figure,phase1,True,True,2026-04-19 09:32:34.653879881,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/transformer/roc_curve.png,figure,phase1,True,True,2026-04-19 09:32:34.571739435,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/transformer/threshold_visualization.png,figure,phase1,True,True,2026-04-19 09:32:35.080391169,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/transformer/training_validation_loss.png,figure,phase1,True,True,2026-04-19 09:32:34.962158680,reports/generated_report.md,True,
outputs/window_size_study/5s/reports/window_run_report.md,report,phase1,True,True,2026-04-19 10:44:09.606316090,,True,
outputs/window_size_study/5s/reports/window_sweep_table.csv,table,phase1,True,True,2026-04-19 17:43:06.783298254,reports/generated_report.md,True,
outputs/window_size_study/5s/residual_windows.parquet,parquet,phase1,True,True,2026-04-19 17:43:04.960955143,PHASE1_DATA_LINEAGE_AUDIT.md;deployment_benchmark_report.md;phase1_canonical_input_summary.md,True,
outputs/window_size_study/5s/split_summary.json,json,phase1,True,True,2026-04-19 17:43:05.211588860,,True,
outputs/window_size_study/60s/benchmark_config.json,json,phase1,True,True,2026-04-19 19:06:17.518779278,,True,
outputs/window_size_study/60s/data/merged_windows_attacked.parquet,parquet,phase2,True,True,2026-04-19 19:06:15.258548498,PHASE1_DATA_LINEAGE_AUDIT.md;PHASE2_FILE_MAP.md;reports/generated_report.md;window_size_experiment_file_map.md;window_source_decision.md,True,
outputs/window_size_study/60s/data/merged_windows_clean.parquet,parquet,phase1,True,True,2026-04-19 19:06:14.680933952,PHASE1_DATA_LINEAGE_AUDIT.md;PHASE1_FILE_MAP.md;deployment_runtime/docs/deployment_contract.md;reports/generated_report.md;window_size_experiment_file_map.md;window_source_decision.md;window_source_sampling_audit.md,True,
outputs/window_size_study/60s/feature_ranking.csv,table,phase1,True,True,2026-04-19 19:06:17.476778746,,True,
outputs/window_size_study/60s/models/autoencoder/metadata.pkl,checkpoint,phase1,True,True,2026-04-19 14:42:39.939310551,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/autoencoder/model.pt,checkpoint,phase1,True,True,2026-04-19 14:42:40.036136627,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/autoencoder/predictions.parquet,parquet,phase1,True,True,2026-04-19 14:42:40.051916599,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/autoencoder/results.json,json,phase1,True,True,2026-04-19 14:42:40.051916599,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/gru/metadata.pkl,checkpoint,phase1,True,True,2026-04-19 14:49:08.562158346,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/gru/model.pt,checkpoint,phase1,True,True,2026-04-19 14:49:08.562158346,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/gru/predictions.parquet,parquet,phase1,True,True,2026-04-19 14:49:08.587729692,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/gru/results.json,json,phase1,True,True,2026-04-19 14:49:08.577602386,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/isolation_forest/model.pkl,checkpoint,phase1,True,True,2026-04-19 14:42:19.229085445,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
outputs/window_size_study/60s/models/isolation_forest/predictions.parquet,parquet,phase1,True,True,2026-04-19 14:42:19.264945984,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/isolation_forest/results.json,json,phase1,True,True,2026-04-19 14:42:19.229085445,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,True,
outputs/window_size_study/60s/models/llm_baseline/metadata.pkl,checkpoint,phase1,True,True,2026-04-19 15:08:55.119660616,deployment_runtime/docs/deployment_contract.md;reports/generated_report.md,False,
