column_name,category,source_artifact,used_in_training,metadata_or_feature,residualized
delta__bess_bess108_p_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_p_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_p_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_p_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_p_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_q_kvar__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_q_kvar__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_q_kvar__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_q_kvar__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_q_kvar__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_reserve_soc__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_reserve_soc__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_reserve_soc__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_reserve_soc__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_reserve_soc__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_max__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_max__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_max__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_max__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_max__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_min__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_min__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_min__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_min__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_soc_min__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_status__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_status__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_status__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_status__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_status__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_i_a__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_i_a__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_i_a__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_i_a__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_i_a__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_v_pu__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_v_pu__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_v_pu__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_v_pu__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess108_terminal_v_pu__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_available_charge_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_available_discharge_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_energy_kwh__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_p_kw__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_p_kw__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_p_kw__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_p_kw__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_p_kw__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_q_kvar__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_q_kvar__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_q_kvar__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_q_kvar__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_q_kvar__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_reserve_soc__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_reserve_soc__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_reserve_soc__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_reserve_soc__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_reserve_soc__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_max__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_max__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_max__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_max__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_max__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_min__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_min__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_min__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_min__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_soc_min__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_status__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_status__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_status__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_status__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_status__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_i_a__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_i_a__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_i_a__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_i_a__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_i_a__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_v_pu__last,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_v_pu__max,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_v_pu__mean,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_v_pu__min,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bess_bess48_terminal_v_pu__std,bess,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_a__last,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_a__max,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_a__mean,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_a__min,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_a__std,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_b__last,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_b__max,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_b__mean,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_b__min,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_b__std,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_c__last,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_c__max,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_c__mean,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_c__min,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
delta__bus_108_angle_deg_phase_c__std,bus,outputs/clean/measured_physical_timeseries.parquet + outputs/attacked/measured_physical_timeseries.parquet,False,feature,True
